metric,retriever,model,0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0,0.0-1.0
cpe,bm25,qwen7b,0|0,0|0,0|0,3|0,0|1,0|2,0|1,1|12,1|9,1|75,1|100
cpe,bm25,llama8b,0|0,0|0,0|0,1|0,1|1,0|2,1|5,1|9,1|29,1|54,1|100
cpe,contriever,qwen7b,17|0,0|0,9|0,6|0,3|1,3|1,5|2,5|9,5|7,8|81,8|100
cpe,contriever,llama8b,0|0,0|0,11|0,5|0,7|1,5|2,8|5,9|8,8|29,8|56,8|100
cnpe,bm25,qwen7b,0|0,0|0,0|0,0|0,0|0,0|0,0|0,1|1,1|12,1|86,1|100
cnpe,bm25,llama8b,2|0,11|0,0|0,0|0,1|0,1|1,1|2,1|4,1|15,1|77,1|100
cnpe,contriever,qwen7b,0|0,0|0,0|0,0|0,20|0,0|0,5|0,6|0,5|4,8|96,8|100
cnpe,contriever,llama8b,6|0,11|0,0|0,0|0,5|0,7|1,4|1,6|4,8|14,8|80,8|100
cse,bm25,qwen7b,1|3,0|7,0|9,0|10,0|12,0|11,0|7,1|13,1|5,3|24,1|100
cse,bm25,llama8b,0|8,0|13,0|15,0|13,1|12,1|9,2|5,2|9,1|5,5|11,1|100
cse,contriever,qwen7b,3|2,3|4,3|5,3|6,4|8,4|9,4|6,6|13,5|5,13|42,8|100
cse,contriever,llama8b,1|5,2|8,2|10,5|10,6|10,7|10,9|6,10|12,7|6,16|22,8|100
cmscp,bm25,qwen7b,1|3,0|9,0|12,0|13,0|12,0|10,0|7,1|6,1|5,3|24,1|100
cmscp,bm25,llama8b,0|5,0|18,0|18,1|14,1|11,1|8,1|6,1|5,1|5,5|10,1|100
cmscp,contriever,qwen7b,11|3,3|5,3|8,3|9,4|9,5|8,5|7,5|5,5|5,13|41,8|100
cmscp,contriever,llama8b,1|3,1|11,3|13,6|12,7|11,7|9,8|7,9|6,7|6,16|21,8|100
