metric,dataset,0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0,0.0-1.0
cpe,nq,0|0,5|0,2|0,3|0,2|1,2|2,3|4,4|12,6|18,10|62,8|100
cpe,hotpotqa,0|0,4|0,5|0,5|0,6|1,5|3,6|7,6|15,8|21,17|52,12|100
cpe,dbpedia-entity,0|0,0|0,17|0,30|0,33|1,26|3,22|5,26|13,26|20,34|56,30|100
cpe,fever,0|0,0|0,0|0,11|0,3|1,3|2,2|5,6|12,6|24,11|56,9|100
cpe,all,0|0,4|0,4|0,6|0,5|1,5|3,6|6,6|14,8|20,15|55,11|100
cnpe,nq,0|0,0|0,0|0,0|0,20|0,0|0,3|0,4|0,7|1,8|98,8|100
cnpe,hotpotqa,0|0,0|0,33|0,25|0,7|0,19|0,12|0,11|0,12|2,12|98,12|100
cnpe,dbpedia-entity,0|0,100|0,0|0,0|0,67|0,100|0,0|0,18|0,30|2,30|98,30|100
cnpe,fever,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,8|1,9|99,9|100
cnpe,all,0|0,67|0,33|0,25|0,22|0,17|0,10|0,10|0,11|2,11|98,11|100
cse,nq,2|8,3|13,5|15,6|13,8|13,10|10,13|5,14|9,11|3,17|10,8|100
cse,hotpotqa,5|7,6|14,7|17,8|16,11|14,16|10,18|5,23|7,23|3,32|7,12|100
cse,dbpedia-entity,20|7,28|14,26|16,27|16,32|14,36|11,33|6,36|8,37|3,44|6,31|100
cse,fever,3|5,4|12,5|16,7|17,10|17,13|11,12|6,16|8,9|3,17|5,9|100
cse,all,4|7,6|14,7|17,8|15,11|14,14|10,17|5,20|8,19|3,26|8,11|100
mscp,nq,1|5,3|18,5|19,8|15,9|11,11|8,12|5,12|4,11|2,17|10,8|100
mscp,hotpotqa,5|4,6|19,7|22,10|17,13|12,16|8,18|5,21|4,23|3,32|7,12|100
mscp,dbpedia-entity,20|4,25|19,28|21,30|17,33|12,32|8,35|6,34|4,37|3,44|6,30|100
mscp,fever,1|2,4|15,6|23,8|20,12|14,11|9,15|6,13|4,9|2,17|4,9|100
mscp,all,4|4,5|19,7|21,10|16,12|12,15|8,16|5,18|4,19|3,26|8,11|100
